set_num,review_score
1795-1,69.0
1796-1,65.0
1797-1,55.0
180-1,85.0
1802-1,61.0
1804-1,57.0
1806-1,73.0
1807-1,75.0
1808-1,84.0
1809-1,35.0
181-1,77.0
1815-1,88.0
1817-1,83.0
1818-1,87.0
1819-1,66.0
182-1,83.0
1821-1,79.0
1822-1,77.0
1823-1,77.0
1825-1,55.0
183-1,72.0
1831-1,91.0
1836-1,20.0
1837-1,24.0
1838-1,48.0
1839-1,36.0
1841-1,59.0
1843-1,60.0
1843-2,69.0
1845-1,52.0
1846-1,47.0
1853-1,62.0
1854-1,86.0
1857-1,50.0
1858-1,70.0
1859-1,55.0
1865-1,33.0
1867-1,72.0
1869-1,68.0
1871-1,58.0
1872-1,62.0
1873-1,57.0
1874-1,63.0
1875-1,71.0
1876-1,85.0
1877-1,79.0
1879-1,55.0
1884-1,55.0
1887-1,70.0
1888-1,70.0
1889-1,63.0
1890-1,55.0
1891-1,72.0
1895-1,70.0
1896-1,83.0
1898-1,50.0
1899-1,65.0
190-1,88.0
1905-1,65.0
1906-1,74.0
1910-1,60.0
1912-1,58.0
1913-1,58.0
1914-1,58.0
1915-1,43.0
1916-1,77.0
1917-1,61.0
1920-1,60.0
192-1,55.0
1923-1,77.0
1924-1,51.0
1924-2,75.0
1929-1,75.0
194-1,45.0
1944-1,80.0
195-1,60.0
1952-1,82.0
1954-1,67.0
1955-1,77.0
1958-1,62.0
1959-1,64.0
196-1,72.0
1962-1,65.0
1966-1,81.0
1967-1,79.0
1967-2,75.0
1968-1,77.0
1969-1,65.0
1969-2,73.0
1970-1,64.0
197-1,66.0
1971-1,75.0
1972-1,71.0
1973-1,75.0
1974-1,69.0
1974-2,69.0
1974-3,88.0
1974-4,78.0
1977-1,53.0
1978-1,70.0
1979-1,70.0
1980-1,73.0
198-1,64.0
1983-1,75.0
1990-1,71.0
199-1,60.0
1991-1,75.0
1992-1,65.0
1993-1,76.0
1995-1,78.0
1997-1,75.0
1998-1,80.0
1999-1,65.0
20001-1,67.0
20002-1,56.0
20003-1,68.0
2000409-1,100.0
20004-1,87.0
2000414-1,82.0
2000430-1,80.0
2000431-1,68.0
2000446-1,60.0
2000447-1,100.0
2000451-1,62.0
2000456-1,62.0
20005-1,57.0
20006-1,77.0
20007-1,69.0
2000715-1,94.0
20008-1,78.0
20009-1,74.0
200-1,60.0
20010-1,68.0
20011-1,67.0
20012-1,74.0
20013-1,66.0
20014-1,55.0
20015-1,79.0
20016-1,69.0
20017-1,75.0
20018-1,71.0
20019-1,76.0
200-2,80.0
20021-1,67.0
200-5,73.0
20-1,60.0
2011-2,60.0
2015-1,65.0
20200-1,68.0
2020-1,65.0
20206-1,65.0
20214-1,65.0
20215-1,80.0
2024-1,65.0
2025-1,57.0
2032-1,51.0
2045-1,62.0
2047-1,60.0
205-2,77.0
2063-1,79.0
2064-1,81.0
2065-1,76.0
2067-1,76.0
2068-1,75.0
2069-1,56.0
2072-1,75.0
2075-1,58.0
208-1,70.0
2-10,75.0
21000-1,62.0
21000-2,67.0
21001-1,59.0
21002-1,70.0
21003-1,73.0
21004-1,72.0
21005-1,86.0
21006-1,82.0
21007-1,72.0
21008-1,58.0
21009-1,78.0
210-1,55.0
21010-1,86.0
21011-1,82.0
21012-1,68.0
21013-1,83.0
21014-1,80.0
21015-1,81.0
21016-1,81.0
21017-1,87.0
21018-1,86.0
21019-1,89.0
21020-1,85.0
21021-1,84.0
21022-1,80.0
21023-1,81.0
21024-1,91.0
21026-1,84.0
21027-1,76.0
21028-1,83.0
21029-1,84.0
21030-1,84.0
21031-1,80.0
21032-1,80.0
21033-1,78.0
21034-1,82.0
21035-1,87.0
21036-1,77.0
21037-1,100.0
21038-1,60.0
21039-1,89.0
21041-1,84.0
21042-1,85.0
21043-1,91.0
21044-1,84.0
21045-1,85.0
21046-1,90.0
21047-1,84.0
21050-1,87.0
21051-1,80.0
21052-1,83.0
21054-1,73.0
21055-1,29.0
21100-1,94.0
21101-1,78.0
21102-1,80.0
21103-1,82.0
21104-1,87.0
21105-1,75.0
21106-1,71.0
21108-1,93.0
21109-1,91.0
211-1,62.0
21110-1,81.0
2111-1,63.0
21113-1,85.0
21114-1,90.0
21115-1,92.0
21116-1,91.0
21117-1,90.0
21118-1,92.0
21119-1,78.0
21120-1,81.0
2112-1,65.0
21121-1,84.0
21122-1,78.0
21123-1,78.0
21124-1,84.0
21125-1,87.0
21126-1,87.0
21127-1,81.0
21128-1,76.0
21129-1,92.0
21130-1,93.0
2113-1,70.0
21131-1,81.0
21132-1,86.0
21133-1,79.0
21134-1,86.0
21135-1,93.0
21136-1,97.0
21137-1,93.0
21138-1,84.0
21139-1,81.0
21140-1,90.0
2114-1,70.0
21141-1,88.0
21142-1,85.0
21143-1,93.0
21144-1,92.0
21145-1,89.0
21146-1,83.0
21147-1,88.0
21148-1,83.0
21149-1,85.0
21150-1,87.0
2115-1,70.0
21151-1,81.0
21152-1,79.0
21153-1,85.0
21154-1,85.0
21155-1,77.0
21156-1,85.0
21157-1,87.0
21158-1,85.0
21159-1,84.0
21160-1,86.0
2116-1,67.0
21161-1,77.0
21162-1,83.0
21163-1,100.0
21165-1,98.0
21166-1,98.0
21167-1,89.0
211701-1,68.0
211702-1,100.0
211804-1,92.0
21200-1,92.0
21201-1,100.0
21204-1,100.0
21205-1,100.0
21206-1,100.0
212-1,65.0
2121-1,20.0
212-2,50.0
2122-1,23.0
2123-1,23.0
2126-1,88.0
2127-1,23.0
2129-1,66.0
2130-1,35.0
21301-1,94.0
21302-1,83.0
21303-1,90.0
21304-1,92.0
21305-1,82.0
21306-1,88.0
21307-1,83.0
21308-1,78.0
21309-1,95.0
213-1,50.0
21310-1,94.0
2131-1,30.0
21311-1,90.0
21312-1,85.0
21313-1,86.0
21314-1,86.0
21315-1,92.0
21316-1,79.0
21317-1,91.0
21318-1,92.0
21319-1,92.0
21320-1,89.0
2132-1,30.0
21321-1,82.0
21322-1,95.0
21323-1,79.0
21324-1,85.0
2133-1,30.0
2134-1,75.0
2138-1,50.0
2139-1,50.0
2140-1,88.0
214-1,68.0
2141-1,81.0
2142-1,74.0
2143-1,73.0
2144-1,73.0
2145-1,77.0
2146-1,50.0
2147-1,86.0
2148-1,88.0
2149-1,88.0
2150-1,93.0
215-1,74.0
2151-1,69.0
2152-1,80.0
215-3,80.0
2153-1,61.0
2154-1,79.0
2155-1,53.0
2156-1,45.0
2157-1,68.0
2158-1,55.0
2159-1,63.0
2160-1,81.0
216-1,75.0
2161-1,79.0
2162-1,81.0
2166-1,70.0
2167-1,45.0
2170-1,79.0
217-1,58.0
2171-1,75.0
217-2,50.0
2172-1,76.0
2173-1,74.0
2174-1,73.0
2175-1,73.0
218-1,75.0
2181-1,83.0
218-2,80.0
2182-1,87.0
2183-1,81.0
2186-1,60.0
2187-1,60.0
2188-1,60.0
2191-1,78.0
2192-1,70.0
2193-1,80.0
2194-1,76.0
2198-1,68.0
220-1,60.0
221-1,76.0
222-1,77.0
2222-1,70.0
2229-1,60.0
2230-1,72.0
2231-1,79.0
2232-1,75.0
2233-1,78.0
2234-1,52.0
2235-1,69.0
2236-1,83.0
2247-1,83.0
2250-1,71.0
2254-1,75.0
2255-1,68.0
2256-1,71.0
2257-1,64.0
2258-1,71.0
2259-1,77.0
2260-1,78.0
226-1,75.0
226-2,88.0
2263-1,66.0
227-1,65.0
228-1,40.0
2282-1,83.0
2283-1,82.0
2284-1,63.0
229-1,60.0
230-1,82.0
230-2,50.0
2304-1,74.0
23-1,60.0
231-1,78.0
231-2,60.0
232-1,75.0
234-1,77.0
235-1,63.0
236-1,62.0
2368-1,65.0
2381-1,65.0
239-1,72.0
240-2,75.0
241-1,67.0
241601-1,67.0
2432-1,57.0
2433-1,67.0
245-1,85.0
246-2,54.0
2490-1,35.0
2494-1,72.0
250-1,82.0
2504-1,70.0
2505-1,73.0
2506-1,83.0
2507-1,82.0
2508-1,74.0
2509-1,80.0
251-1,30.0
2516-1,72.0
2518-1,68.0
2519-1,72.0
2520-1,78.0
252-1,66.0
2521-1,76.0
2531-1,81.0
253-2,50.0
2532-1,63.0
2535-1,71.0
2536-1,79.0
2537-1,81.0
2538-1,68.0
2539-1,56.0
2540-1,61.0
2541-1,62.0
2542-1,62.0
2543-1,69.0
2544-1,67.0
255-2,75.0
2552-1,75.0
2554-1,78.0
2555-1,68.0
2556-1,88.0
256-1,62.0
258-1,60.0
2584-1,70.0
2585-1,77.0
2586-1,76.0
2593-1,76.0
2594-1,70.0
260-1,86.0
2602-1,55.0
260-3,65.0
2607-1,60.0
261-1,73.0
261-4,70.0
2616-1,60.0
262-2,70.0
263-1,60.0
2634-1,60.0
26374-1,25.0
26377-1,25.0
26379-1,25.0
2641-2,48.0
2650-2,48.0
265-1,68.0
2652-1,75.0
2659-1,78.0
2662-1,47.0
2668-1,67.0
2673-1,67.0
2676-1,53.0
268-1,73.0
2683-1,57.0
2684-1,53.0
269-1,76.0
2695-1,40.0
2696-1,53.0
2697-1,67.0
2-7,83.0
2700-1,50.0
270-2,74.0
2705-1,50.0
2707-1,40.0
2710-1,40.0
271-1,55.0
2714-1,33.0
271601-1,85.0
2718-1,78.0
2719-1,40.0
272-1,65.0
2722-1,40.0
2730-1,65.0
273-1,62.0
2731-1,62.0
2734-1,62.0
2735-1,58.0
2736-1,60.0
2738-1,62.0
2739-1,52.0
274-1,60.0
2741-1,60.0
2742-1,45.0
2743-1,45.0
2745-1,76.0
276-1,42.0
2769-1,69.0
277-1,60.0
2774-1,71.0
2784-1,37.0
2786-1,75.0
280-1,75.0
2806-1,75.0
2814-1,70.0
2819-1,28.0
282-1,53.0
2824-1,77.0
2825-1,50.0
2828-1,47.0
