set_num,value
30573-1,4.14
30574-1,4.94
30575-1,4.42
30576-1,5.98
30577-1,9.48
30601-1,26.18
30602-1,12.11
30603-1,8.71
30604-1,12.02
30605-1,11.5
30606-1,16.89
30607-1,9.94
30608-1,6.77
30609-1,2.52
306-1,30.86
30610-1,23.08
30611-1,25.93
30612-1,16.42
30614-1,8.65
30615-1,9.24
30617-1,20.87
30623-1,16.87
30624-1,8.72
3063-1,25.02
3065-1,26.18
31000-1,10.72
31002-1,9.94
31003-1,10.88
31004-1,12.44
31005-1,10.7
31006-1,43.25
31008-1,19.88
31009-1,35.42
31010-1,24.03
31011-1,137.04
31012-1,124.21
31013-1,4.49
31014-1,5.72
31015-1,23.88
31017-1,8.08
31018-1,8.3
31019-1,15.18
31020-1,10.88
3102,15.4
31021-1,88.49
31022-1,16.97
31023-1,44.56
31024-1,28.82
31025-1,69.42
31027-1,10.8
31028-1,12.52
31029-1,9.17
31030-1,6.91
31032-1,44.65
31033-1,18.44
31037-1,38.49
31038-1,67.75
31039-1,92.58
31040-1,7.95
31042-1,9.94
31043-1,9.74
31045-1,77.84
31046-1,20.86
31047-1,33.87
31048-1,39.12
31049-1,38.48
31050-1,113.78
31052-1,90.1
31053-1,54.24
31054-1,7.77
31055-1,5.06
31057-1,9.94
31058-1,10.8
31059-1,31.6
31062-1,18.66
31063-1,46.18
31064-1,60.05
31067-1,50.16
31069-1,106.25
31070-1,77.22
31071-1,12.44
31072-1,9.94
31073-1,23.1
31074-1,29.81
31075-1,30.78
31076-1,21.01
31077-1,61.58
31078-1,50.6
31079-1,56.9
31080-1,53.11
31081-1,64.67
31083-1,69.28
31084-1,157.41
31085-1,61.58
31086-1,15.71
31087-1,16.42
31088-1,12.89
31089-1,29.29
31090-1,24.03
31091-1,43.48
31092-1,10.45
31093-1,40.02
31094-1,46.97
31095-1,54.65
31096-1,138.95
31098-1,45.58
31099-1,11.31
31100-1,13.73
3110,27.77
31101-1,17.53
31102-1,33.03
31103-1,29.63
31104-1,54.88
31105-1,64.46
31107-1,60.25
31108-1,99.33
31109-1,127.86
31111-1,11.74
31112-1,17.87
31113-1,29.78
31118-1,60.76
3115,38.49
3118,264.91
3119,346.45
31197-1,156.91
31198-1,152.6
31199-1,157.81
31201-1,157.81
31202-1,231.44
3130-1,19.67
31313-1,369.55
3135,44.74
3141,6.09
3144-1,83.15
3148,138.58
3149-1,260.22
3150,23.14
3151,69.29
3152,53.89
317-1,123.11
317-1,123.11
3177-1,8.04
3178-1,9.24
3179-1,8.65
3180-1,31.14
3181-1,12.65
3182-1,110.57
3183-1,15.4
3184-1,34.78
3185-1,170.77
3186-1,24.22
3187-1,25.41
3188-1,50.57
3189-1,63.13
3202,152.44
3203,76.99
3222-1,42.6
3300-1,51.88
3305-1,6.54
331-1,30.03
331-1,30.03
3315-1,72.37
3352-1,41.5
3353-1,65.72
3366-1,8.65
3367-1,13.46
3383-1,15.42
3408,29.09
3409-1,76.97
3416-1,48.44
3419-1,51.72
3424-1,4.62
3429-1,38.49
343-1,384.95
3432-1,300.87
3439-1,31.59
3440-1,24.84
3450,2771.63
3451,230.28
349-1,76.99
350-1,76.99
3502,15.4
3505,23.08
352-1,30.03
