set_num,value
8707-1,53.89
8708-1,61.59
8709-1,429.59
8721-1,5.39
8722-1,6.53
8725-1,6.8
8733-1,61.79
8736-1,9.27
8737-1,12.32
8738-1,9.24
8739-1,13.86
8740-1,9.24
8741-1,10.78
8742-1,9.24
8744-1,9.16
8746-1,12.32
8748-1,6.16
8755-1,53.89
8759-1,52.34
8762-1,21.6
8769-1,55.36
8770-1,4.53
8779-1,53.96
8780-1,115.48
8791-1,4.62
8792-1,11.31
8793-1,7.53
8795-1,7.7
8799-1,38.95
8800-1,38.95
88010-1,12.63
88011-1,23.09
88012-1,42.75
88014-1,40.52
8803-10,4.43
8803-11,3.9
8803-12,12.55
8803-13,4.14
8803-14,4.81
8803-15,8.0
8803-16,6.54
8803-3,13.0
8803-4,5.22
8803-5,7.27
8803-6,7.7
8803-7,4.76
8803-8,4.99
8803-9,7.7
8804-10,5.01
8804-11,2.95
8804-12,3.85
8804-13,18.89
8804-14,4.7
8804-15,5.03
8804-16,3.37
8804-2,6.08
8804-3,6.5
8804-4,4.66
8804-5,4.14
8804-6,5.07
8804-7,4.9
8804-8,9.21
8804-9,4.74
8805-10,3.81
8805-11,4.21
8805-12,6.34
8805-13,4.1
8805-14,5.45
8805-15,16.94
8805-16,8.5
8805-2,13.72
8805-3,8.41
8805-4,6.91
8805-5,3.03
8805-6,13.78
8805-7,3.6
8805-8,4.45
8805-9,6.17
8808-1,8.08
8810-1,7.7
8815-1,9.57
8820-1,14.11
8822-1,100.21
8824-1,18.32
8825-1,7.62
8826-1,11.4
8827-10,30.3
8827-11,13.45
8827-12,4.66
8827-13,5.53
8827-14,11.09
8827-15,4.32
8827-16,6.34
8827-2,4.12
8827-3,9.83
8827-4,7.87
8827-5,6.16
8827-6,3.46
8827-7,10.39
8827-9,6.91
8828-1,19.4
8829-1,53.73
8830-1,18.48
8831-13,6.84
8831-2,17.71
8831-5,12.03
8831-9,5.39
8832-1,7.7
8833-10,5.08
8833-11,4.81
8833-12,7.61
8833-13,7.79
8833-14,12.12
8833-15,6.06
8833-16,23.08
8833-2,15.4
8833-3,11.11
8833-4,5.54
8833-5,8.62
8833-6,11.24
8833-7,8.29
8833-8,14.0
8835-1,26.95
8836-1,22.69
8837-1,46.19
8838-1,34.54
8839-1,383.4
8843-1,76.99
8844-1,39.57
8845-1,30.79
8848-1,92.38
8849-1,100.08
8850-1,73.14
885-1,9.24
8851-1,123.57
8852-1,61.59
8854-1,92.38
8855-1,100.24
8859-1,190.56
8860-1,138.58
886-1,10.49
8862-1,130.88
8865-1,146.28
8872-1,83.15
8873-1,76.99
8874-1,38.54
8876-1,138.58
8877-1,246.34
8878-1,176.51
8879-1,24.93
8880,251.03
889-1,8.47
8894-1,107.77
8896-1,10.0
8897-1,10.8
8898-1,76.99
8899-1,25.0
8900-1,15.32
8901-1,13.09
8902-1,12.32
8903-1,15.4
8904-1,26.25
8905-1,20.79
8909-4,29.43
8909-5,23.1
891501-1,9.78
891503-1,3.9
891508-1,4.79
8916-1,21.63
891611-1,4.62
891612-1,3.08
891613-1,3.08
891614-1,4.62
891615-1,12.3
891616-1,3.08
891618,4.62
891619-1,1.54
891620-1,4.62
8917-1,16.12
891721-1,4.62
891722-1,3.83
891723-1,4.62
891725-1,7.7
891727-1,4.31
891728-1,4.45
891729-1,4.0
891730-1,6.92
891731-1,8.46
891732-1,3.85
8918-1,76.97
891833-1,4.23
891834-1,3.51
891835-1,3.83
891836-1,3.46
891837-1,2.81
891838-1,3.39
891839-1,3.25
891840-1,3.8
891841-1,4.41
891842-1,2.54
891843-1,3.85
891844-1,3.21
8919-1,15.4
891945-1,6.01
891946-1,3.45
891947-1,4.24
891948-1,4.27
891949-1,4.41
891950-1,7.43
891951-1,5.19
891952-1,5.18
891953-1,4.49
891955-1,4.33
891956-1,6.34
891957-1,8.64
891958-1,6.14
892059-1,4.59
892060-1,5.48
892061-1,6.61
892066-1,7.68
892067-1,5.18
892068-1,7.68
8921-1,19.94
8922-1,84.69
8926-1,55.87
8929-1,38.49
8930-1,15.45
8931-1,9.27
8932-1,6.53
8935-1,84.69
8939-1,337.2
8940-1,259.66
894-1,30.02
8943-1,123.18
8944-1,5.77
8945-1,6.53
8947-1,5.7
8949-1,8.57
8953-1,164.45
8956-1,3.85
8957-1,4.62
8958-1,6.93
8959-1,19.91
8960-1,33.49
8961-1,113.53
8962-1,18.48
8963-1,19.25
8964-1,366.45
8967-1,46.19
8968-1,38.1
8969-1,38.49
897-1,15.4
8972-1,7.62
8973-1,6.47
8974-1,9.27
8975-1,9.16
8977-1,9.24
8978-1,19.25
8979-1,17.66
8981-1,62.32
8982-1,18.48
8985-1,154.08
8986-1,27.71
8987-1,43.26
8989-1,38.05
8991-1,58.86
8993-1,44.46
8995-1,119.45
8998-1,502.05
906-1,53.89
9071,
9079-1,
9094-1,
911506-1,
911509-1,
911511-1,
911607-1,
911608-1,
911609-1,
911610-1,
911611-1,
911613-1,
911614-1,
911615-1,
911616-1,
911617-1,
911618-1,
911719-1,
911720-1,
911721-1,
911722-1,
911723-1,
911724-1,
911725-1,
911726-1,
911727-1,
911728-1,
911729-1,
911730-1,
911831-1,
911832-1,
911833-1,
911834-1,
911835-1,
911836-1,
911837-1,
911838-1,
911839-1,
911840-1,
911841-1,
911842-1,
911943-1,
911944-1,
911945-1,
911946-1,
911947-1,
911948-1,
911949-1,
911950-1,
911951-1,
911952-1,
911953-1,
911954-1,
912055-1,
912056-1,
912059-1,
912060-1,
912061-1,
912063-1,
912065-1,
912067-1,
9134-1,
92176-1,
92177-1,
924-1,
931-1,
933-1,
9388-1,
9390-1,
9392-1,
9393-1,
9394-1,
9395-1,
9396-1,
9397-1,
9440-1,
9441-1,
9442-1,
9443-1,
9444-1,
9446-1,
9447-1,
9448-1,
9449-1,
9450-1,
9456-1,
9457-1,
9461-1,
9462-1,
9463-1,
9467-1,
9469-1,
9470-1,
9471-1,
9472-1,
9473-1,
9476-1,
9478-1,
9480-1,
9481-1,
9483-1,
9484-1,
9486-1,
9490-1,
9491-1,
9492-1,
9493-1,
9494-1,
9495-1,
9496-1,
9498-1,
9499-1,
9500-1,
9516-1,
951701,
951806-1,
951810-1,
951901-1,
951902-1,
951904-1,
951905-1,
951907-1,
951908-1,
951912-1,
952003-1,
952008-1,
952016-1,
952018-1,
952019-1,
9525-1,
9526-1,
9551-1,
9552-1,
9553-1,
9556-1,
9557-1,
9561-1,
9562-1,
9563-1,
9564-1,
9566-1,
9573-1,
9574-1,
9590-1,
9591-1,
9668-1,
970-1,
9713,
9732,
9736-1,
9748-1,
9755,
9783-1,
9841-1,
9889,
9891,
9938-1,
