set_num,rrp,current_value,growth,annual_growth
10559-1,15.99,52.27,1.9809999999999999,0.14300000000000002
10560-1,15.99,17.54,,
1056-1,,1017.48,,
10561-1,19.99,60.74,1.251,0.129
10565-1,69.99,128.24,0.583,0.049
10566-1,29.99,52.38,0.5529999999999999,0.095
10567-1,19.99,41.85,0.551,0.062
10568-1,12.99,26.97,1.0,0.125
10569-1,29.99,107.7,1.66,0.166
10570-1,17.99,53.2,1.629,0.188
10571-1,34.99,46.22,0.142,0.084
10572-1,34.99,53.99,0.33299999999999996,0.036000000000000004
10573-1,14.99,103.36,4.107,0.29100000000000004
10574-1,14.99,219.81,9.862,0.304
10575-1,34.99,37.79,,
10576-1,8.99,20.99,1.225,0.111
10577-1,69.99,182.12,1.249,0.147
10579-1,15.99,52.0,1.965,0.157
10580-1,59.99,142.51,1.112,0.192
10581-1,12.99,66.2,3.909,0.289
10582-1,24.99,87.01,2.224,0.20199999999999999
10583-1,29.99,128.56,2.8110000000000004,0.217
10584-1,69.99,133.66,0.65,0.10300000000000001
10585-1,12.99,58.02,3.302,0.215
10586-1,14.99,53.99,1.6680000000000001,0.192
10587-1,24.99,67.49,1.501,0.166
10589-1,14.99,27.73,0.37,0.07200000000000001
10590-1,24.99,89.18,2.305,0.27699999999999997
10591-1,14.99,40.53,1.003,0.11199999999999999
10592-1,29.99,80.99,1.401,0.28300000000000003
10593-1,59.99,2754.35,39.813,0.314
10594-1,29.99,98.05,1.906,0.19
10595-1,49.99,179.09,1.6540000000000001,0.18899999999999997
10596-1,44.99,337.14,5.245,0.324
10597-1,29.99,33.97,0.006999999999999999,0.018000000000000002
10599-1,39.99,198.38,2.675,0.239
10600-1,29.99,71.58,1.122,0.156
1060-1,,207.35,,
10601-1,19.99,74.17,1.7480000000000002,0.196
10602-1,29.99,236.84,4.85,0.249
10603-1,14.99,33.67,0.664,0.127
10604-1,19.99,26.99,,
10605-1,24.99,31.56,0.17,0.053
10606-1,34.99,144.72,2.575,0.29
10607-1,14.99,129.06,5.377999999999999,0.33399999999999996
10608-1,29.99,128.37,2.171,0.273
106-1,,13498.65,,0.364
1061-1,,33.25,,0.226
10615-1,14.99,60.74,2.001,0.249
10616-1,19.99,104.37,2.867,0.33399999999999996
10617-1,19.99,54.11,1.005,0.184
10618-1,29.99,107.18,2.177,0.141
1062-1,24.99,31.39,0.163,0.057
10622-1,80.99,182.86,1.258,0.149
10623-1,39.99,319.23,4.913,0.263
1063-1,,2299.5,,
1064-1,,,,
1065-1,,,,
10654-1,69.99,143.14,0.767,0.094
10655-1,24.99,233.48,7.652,0.207
10656-1,12.99,30.55,1.265,0.095
10657-1,19.99,41.13,1.033,0.126
10659-1,29.99,58.23,0.726,0.059000000000000004
10660-1,29.99,52.27,0.5489999999999999,0.06
1066-1,,1130.84,,
10661-1,12.99,40.49,2.002,0.08800000000000001
10662-1,39.99,128.01,2.162,0.153
10663-1,59.99,102.4,0.6859999999999999,0.09300000000000001
10664-1,59.99,160.08,1.3719999999999999,0.077
10665-1,12.99,40.45,1.306,0.136
10666-1,12.99,35.55,1.636,0.083
10667-1,17.99,69.7,2.444,0.22399999999999998
10668-1,17.99,60.37,1.983,0.133
10669-1,24.99,77.63,1.876,0.156
1067-1,,1026.32,,
10671-1,24.99,83.5,2.094,0.157
10672-1,29.99,73.71,0.821,0.08800000000000001
10673-1,34.99,121.2,1.994,0.196
10674-1,34.99,151.32,2.738,0.242
10675-1,29.99,77.17,0.9059999999999999,0.113
10676-1,59.99,71.2,0.055,0.032
10677-1,12.99,21.18,0.5710000000000001,0.073
10679-1,12.99,23.67,0.755,0.098
10680-1,24.99,77.18,1.86,0.20199999999999999
1068-1,3.36,27.19,7.087999999999999,0.113
10681-1,44.99,121.26,1.496,0.135
10682-1,69.99,101.13,0.249,0.038
10683-1,24.99,61.06,1.263,0.161
10684-1,29.99,46.36,0.718,0.11800000000000001
10685-1,29.99,56.03,1.0759999999999998,0.157
10686-1,39.99,54.32,0.342,0.06
10687-1,29.99,64.35,0.59,0.09699999999999999
1069-1,4.04,47.24,10.702,0.11199999999999999
10692-1,19.99,22.94,,
10693-1,24.99,27.32,0.013000000000000001,
10694-1,24.99,35.87,0.32899999999999996,0.085
10695-1,29.99,215.99,5.402,0.354
10696-1,34.99,48.26,0.022000000000000002,0.011000000000000001
10697-1,59.99,142.2,0.7559999999999999,0.105
10698-1,59.99,80.99,,
10699-1,9.99,31.95,1.962,0.265
10700-1,9.99,18.0,0.6679999999999999,0.049
1070-1,4.04,13.45,2.331,0.059000000000000004
10701-1,17.99,20.24,,
10702-1,39.99,53.57,0.32299999999999995,0.095
10703-1,44.99,187.85,2.48,0.324
10704-1,69.99,82.66,0.021,0.019
10705-1,79.99,107.58,0.32799999999999996,0.10800000000000001
10706-1,6.99,8.15,0.21,0.071
10707-1,6.99,7.97,0.182,0.071
10708-1,6.99,8.52,0.265,0.179
10709-1,6.99,8.24,0.222,0.071
107-1,33.41,180.72,4.409,0.039
1071-1,,,,
10712-1,24.99,33.7,0.249,0.261
10713-1,24.99,,,
10714-1,9.99,,,
10715-1,29.99,40.45,0.19899999999999998,0.062
10717-1,79.99,,,
107-2,,2047.4,,0.05
10720-1,12.99,39.31,1.915,0.244
10721-1,17.99,55.34,2.156,0.212
10722-1,17.99,33.74,0.667,0.133
10723-1,17.99,33.84,0.672,0.111
10724-1,24.99,53.99,1.001,0.168
10725-1,39.99,47.25,0.16699999999999998,0.053
10726-1,15.99,34.09,0.9440000000000001,0.16899999999999998
10727-1,26.99,63.94,1.369,0.21
10728-1,39.99,106.41,1.6280000000000001,0.212
10729-1,24.99,47.48,0.40700000000000003,0.096
107-3,14.78,387.38,25.206,
10730-1,12.99,25.58,0.897,0.244
10731-1,12.99,17.01,0.261,0.11
10732-1,12.99,24.25,0.7979999999999999,0.18600000000000003
10733-1,12.99,35.65,1.6440000000000001,0.324
10734-1,39.99,87.84,1.17,0.22699999999999998
10735-1,24.99,53.99,1.001,0.17300000000000001
10736-1,29.99,60.74,0.8,0.21600000000000003
10737-1,17.99,26.2,0.295,0.071
10738-1,17.99,37.92,0.8740000000000001,0.188
10739-1,24.99,29.62,0.098,0.035
10740-1,24.99,39.35,0.45799999999999996,0.127
10742-1,24.99,31.81,0.179,0.071
10743-1,29.99,67.49,1.501,0.22399999999999998
10744-1,44.99,105.76,1.239,0.28600000000000003
10745-1,64.99,106.91,0.584,0.153
10746-1,24.99,53.37,0.977,0.179
10747-1,39.99,51.26,0.266,0.069
10748-1,12.99,20.93,0.552,0.166
10749-1,24.99,30.93,0.146,0.051
10750-1,12.99,27.99,1.075,0.249
1075-1,18.63,,,
10751-1,24.99,29.69,0.1,0.049
10753-1,29.99,41.26,0.223,0.254
10754-1,24.99,39.95,0.48,0.17600000000000002
10755-1,24.99,32.67,0.21100000000000002,0.084
10756-1,24.99,29.58,0.096,0.10099999999999999
10757-1,29.99,47.25,0.401,0.17
10758-1,59.99,99.08,0.46799999999999997,0.23399999999999999
10759-1,24.99,33.72,0.25,0.065
10760-1,29.99,41.43,0.228,0.061
1076-1,26.99,60.75,1.251,0.077
10761-1,39.99,65.0,0.606,0.15
10762-1,18.99,32.62,0.612,0.18899999999999997
10763-1,44.99,57.89,0.225,0.065
10764-1,64.99,67.45,,
10765-1,18.99,31.2,0.542,0.154
10766-1,13.99,,,
10767-1,24.99,26.99,,
10768-1,34.99,,,
10769-1,49.99,47.24,,
10770-1,69.99,,,
1077-1,,167.67,,
10771-1,24.99,,,
1079-1,,,,
10801-1,12.99,94.04,5.973,0.344
10802-1,24.99,67.49,1.501,0.183
10803-1,39.99,164.36,3.06,0.364
10804-1,64.99,107.64,0.595,0.131
10805-1,129.99,189.38,0.40299999999999997,0.12
10806-1,17.99,156.47,6.732,0.294
10807-1,24.99,110.52,3.096,0.254
10808-1,12.99,34.64,1.569,0.218
10809-1,17.99,23.76,0.174,0.075
108-1,,104.83,,
10810-1,29.99,162.89,3.023,0.33399999999999996
10811-1,17.99,110.78,4.474,0.344
10812-1,24.99,26.99,,
10813-1,59.99,98.19,0.455,0.207
10814-1,24.99,175.49,5.502999999999999,0.374
10815-1,12.99,75.07,4.567,0.384
10816-1,24.99,59.74,1.214,0.254
10817-1,39.99,75.17,0.857,0.15
10818-1,19.99,107.99,3.002,0.314
10819-1,19.99,40.45,0.499,0.075
10820-1,74.99,101.37,0.252,0.075
10822-1,39.99,91.8,1.2670000000000001,0.188
10823-1,29.99,62.17,0.536,0.203
10824-1,24.99,33.89,0.256,0.046
10825-1,29.99,94.49,1.801,0.177
10826-1,44.99,56.28,0.191,0.033
10827-1,44.99,101.25,1.143,0.21
10828-1,29.99,189.7,4.623,0.384
10829-1,24.99,32.87,0.218,0.049
10830-1,24.99,77.14,1.858,0.237
1083-1,,,,
10831-1,12.99,170.63,11.652000000000001,0.314
10832-1,17.99,26.99,0.33399999999999996,0.114
10833-1,19.99,77.36,1.8659999999999999,0.324
10834-1,29.99,53.42,0.319,0.135
10835-1,44.99,67.49,0.25,0.261
10836-1,74.99,105.92,0.308,0.154
10837-1,29.99,87.7,0.624,0.16699999999999998
10838-1,12.99,44.59,2.306,0.324
10839-1,24.99,44.47,0.098,0.07
10840-1,99.99,174.64,0.078,0.025
10841-1,44.99,175.49,0.857,0.191
10842-1,59.99,203.15,2.01,0.256
10843-1,17.99,55.85,1.76,0.324
10844-1,44.99,189.38,2.508,0.324
10845-1,24.99,40.68,0.20600000000000002,0.052000000000000005
10846-1,44.99,162.18,2.004,0.324
10847-1,24.99,,,
10848-1,53.99,53.2,,
10849-1,4.99,11.12,0.6509999999999999,0.14400000000000002
