set_num,rrp,dollars_per_part,annual_growth,good_investment,years_since_release,num_parts,theme_name,is_parent_theme,num_minifigs,dominant_color,prop_trans_parts,num_unique_parts,num_part_cat,num_cat_part_count,review_score,availability
10121-1,13.49,0.843125,0.144,1,18,16,Basketball,0,1.0,Orange,0.0,1,1,1414,37.0,Retired
10123-1,134.99,0.19093352192362095,0.095,1,18,707,Ultimate Collector Series,0,1.0,Light Gray,0.09743589743589744,131,29,511,83.0,Retired
10124-1,80.99,0.12215686274509803,0.074,0,18,663,Creator Expert,0,0.0,Brown,0.0,95,26,427,84.0,Retired
10127-1,12.14,0.20576271186440678,0.094,1,18,59,Hockey,0,0.0,Black,0.0,32,10,753,33.0,Retired
10128-1,67.49,0.2070245398773006,0.056,0,18,326,World City,0,1.0,Black,0.10236220472440945,101,27,503,85.0,Retired
10129-1,139.99,0.09608098833218943,0.131,1,18,1457,Ultimate Collector Series,0,0.0,Light Gray,0.024305555555555556,162,28,431,90.0,Retired
10131-1,94.49,0.13734011627906975,0.086,1,17,688,Ultimate Collector Series,0,1.5,Black,0.10112359550561797,86,20,375,80.0,Retired
10132-1,161.99,0.22751404494382024,0.156,1,17,712,Harry Potter,1,1.0,Black,0.037037037037037035,137,28,637,81.0,Retired
10133-1,53.99,0.13200488997555013,0.081,1,17,409,9V,0,1.0,Black,0.04,66,22,489,87.0,Retired
10134-1,179.99,0.12079865771812082,0.094,1,17,1490,Ultimate Collector Series,0,1.0,Light Bluish Gray,0.015384615384615385,169,30,468,85.0,Retired
10143-1,364.49,0.10534393063583815,0.104,1,16,3460,Ultimate Collector Series,0,0.0,Light Bluish Gray,0.029197080291970802,117,22,297,76.0,Retired
10144-1,188.99,0.1124271267102915,0.074,0,16,1681,Ultimate Collector Series,0,1.2222222222222223,Reddish Brown,0.04291845493562232,153,29,482,87.0,Retired
10145-1,6.74,0.054354838709677424,0.063,0,17,124,Bulk Bricks,1,0.0,Light Gray,0.0,11,1,1069,81.0,Retired
10146-1,6.74,0.10870967741935485,0.089,1,17,62,Bulk Bricks,1,0.0,Dark Gray,0.0,11,1,1069,82.0,Retired
10147-1,6.74,0.10870967741935485,0.07,0,17,62,Bulk Bricks,1,0.0,Brown,0.0,11,1,1069,80.0,Retired
10148-1,6.74,0.08023809523809525,0.068,0,17,84,Bulk Bricks,1,0.0,Light Gray,0.0,17,1,86,85.0,Retired
10149-1,6.74,0.1604761904761905,0.056,0,17,42,Bulk Bricks,1,0.0,Dark Gray,0.0,17,1,86,82.0,Retired
10150-1,6.74,0.1604761904761905,0.102,1,17,42,Bulk Bricks,1,0.0,Brown,0.0,17,1,86,81.0,Retired
10151-1,53.99,0.12824228028503565,0.095,1,17,421,Model Team,1,0.0,Light Bluish Gray,0.026845637583892617,92,25,356,87.0,Retired
10152-1,101.24,0.10246963562753036,0.047,0,17,988,Creator Expert,0,0.0,White,0.06097560975609756,100,26,584,93.0,Retired
10153-1,33.74,11.246666666666668,0.106,1,19,3,9V,0,0.0,Black,0.0,2,2,505,87.0,Retired
10155-1,139.99,0.14140404040404042,0.041,0,11,990,Creator Expert,0,0.0,White,0.06666666666666667,100,26,583,80.0,Retired
10156-1,20.24,0.1946153846153846,0.094,1,17,104,Traffic,0,1.0,Yellow,0.07692307692307693,42,18,424,84.0,Retired
10157-1,33.74,0.23594405594405596,0.074,0,17,143,World City,0,1.0,White,0.11666666666666667,57,17,656,59.0,Retired
10158-1,33.74,0.20956521739130435,0.071,0,17,161,World City,0,1.0,White,0.058823529411764705,42,14,733,63.0,Retired
10159-1,121.49,0.13292122538293216,0.113,1,17,914,Airport,0,1.0,White,0.10130718954248366,176,27,488,92.0,Retired
10160-1,8.09,0.16854166666666667,0.105,1,17,48,Bulk Bricks,1,0.0,Black,0.0,5,1,506,82.0,Retired
10161-1,8.09,0.10644736842105262,0.059,0,17,76,Bulk Bricks,1,0.0,Black,0.0,4,1,506,89.0,Retired
10162-1,8.09,0.16854166666666667,0.078,0,17,48,Bulk Bricks,1,0.0,Red,0.0,5,1,506,82.0,Retired
10163-1,8.09,0.10644736842105262,0.058,0,17,76,Bulk Bricks,1,0.0,Red,0.0,4,1,506,80.0,Retired
10165-1,3.36,0.12444444444444444,0.049,0,17,27,Christmas,0,0.0,White,0.0,13,5,519,67.0,Retired
10166-1,3.36,0.10838709677419354,0.096,1,17,31,Christmas,0,0.0,White,0.08333333333333333,14,6,471,71.0,Retired
10168-1,5.39,0.08421875,0.059,0,16,64,Easter,0,0.0,Green,0.0,20,7,495,80.0,Retired
10169-1,5.39,0.08983333333333333,0.049,0,16,60,Easter,0,0.0,White,0.0,18,5,659,66.0,Retired
10170-1,53.99,0.14791780821917808,0.083,1,16,365,9V,0,0.0,Black,0.0,47,14,549,82.0,Retired
10173-1,121.49,0.1253766769865841,0.068,0,15,969,Creator Expert,0,1.0,Black,0.050761421319796954,118,22,487,86.0,Retired
10174-1,107.99,0.10101964452759588,0.079,0,15,1069,Ultimate Collector Series,0,0.0,Light Bluish Gray,0.0,155,28,303,85.0,Retired
10175-1,134.99,0.11137788778877888,0.102,1,15,1212,Ultimate Collector Series,0,0.0,Light Bluish Gray,0.01948051948051948,130,28,339,81.0,Retired
10176-1,134.99,0.15392246294184722,0.074,0,15,877,Knights Kingdom I,0,1.2,Black,0.03825136612021858,151,32,614,79.0,Retired
10177-1,119.99,0.10032608695652173,0.131,1,15,1196,Creator Expert,0,0.0,Blue,0.06470588235294118,105,22,388,81.0,Retired
10178-1,159.99,0.14071240105540897,0.076,0,14,1137,Ultimate Collector Series,0,1.0,Light Bluish Gray,0.00625,149,28,225,91.0,Retired
10179-1,674.99,0.12993070259865255,0.221,1,14,5195,Ultimate Collector Series,0,1.0,Light Bluish Gray,0.007168458781362007,229,32,357,86.0,Retired
10181-1,269.99,0.07876021003500584,0.116,1,14,3428,Creator Expert,0,0.0,Dark Bluish Gray,0.037815126050420166,74,19,590,83.0,Retired
10182-1,188.99,0.09183187560738582,0.128,1,14,2058,Modular Buildings,1,1.0,Light Bluish Gray,0.025830258302583026,115,26,553,91.0,Retired
10183-1,134.99,0.12499074074074075,0.08,1,14,1080,Factory,1,0.0,Black,0.08092485549132948,119,24,516,89.0,Retired
10184-1,202.49,0.10039167079821518,0.06,0,13,2017,Town Plan,0,1.0,White,0.05104408352668213,191,30,596,89.0,Retired
10185-1,219.99,0.09329516539440204,0.119,1,13,2358,Modular Buildings,1,1.0,Light Bluish Gray,0.024390243902439025,166,28,604,92.0,Retired
10186-1,121.49,0.11207564575645756,0.065,0,13,1084,Ultimate Collector Series,0,0.0,Dark Bluish Gray,0.03888888888888889,139,29,351,80.0,Retired
10187-1,161.99,0.09962484624846249,0.07,0,13,1626,Creator Expert,0,0.0,Dark Bluish Gray,0.03,115,27,422,81.0,Retired
10188-1,499.99,0.131093340325118,0.047,0,13,3814,Ultimate Collector Series,0,1.1363636363636365,Black,0.05502392344497608,270,36,457,90.0,Retired
10189-1,399.99,0.06754305977710233,0.18,1,13,5922,Creator Expert,0,0.0,White,0.017241379310344827,120,23,476,78.0,Retired
10190-1,121.49,0.097192,0.134,1,14,1250,Modular Buildings,1,1.0,Black,0.00510204081632653,114,29,663,84.0,Retired
10191-1,134.99,0.1513340807174888,0.025,0,13,892,Factory,1,1.6,Light Bluish Gray,0.028735632183908046,118,26,413,81.0,Retired
10192-1,134.99,0.14105538140020898,0.0,0,13,957,Factory,1,4.0,Black,0.04,109,28,453,76.0,Retired
