,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
8156,6348-1,Surveillance Squad,,Normal,Modern day,Town,Police,1994,View tags »Articulated LorryMobile BaseMotorcyclePoliceTrailerTruck ,311,$33.00,"
New: ~CA$126
Used: ~CA$36
",10.6c,,Box,,Retail,Random set of the day on 21 Aug 2019,✭✭✭✭✭ 4.4 75 ratings 8 Reviews,3,,EAN: 5702010963485,,,
8157,6349-1,Holiday Villa,Villa ,Normal,Modern day,Town,Leisure,1988,View tags »BedroomCarHouseKitchenRoad Baseplate ,205,,"
New: ~CA$400
Used: ~CA$83
",,,Box,,Retail,,✭✭✭✭✭ 4.4 41 ratings 5 Reviews,2,,,,,
8158,6350-1,Pizza To Go,,Normal,Modern day,Town,Shops and Services,1994,View tags »BaseplateDelivery TruckPizzaPizzeriaRestaurant ,152,$15.00,"
New: ~CA$192
Used: ~CA$57
",9.9c,,Box,,Retail,Re-released as 10036-1 ,✭✭✭✭✭ 4.6 116 ratings 19 Reviews,3,,EAN: 5702010963508,,,
8159,635-1,Extra Bricks in White,,Normal,Basic,Basic,Supplementaries,1996,View tags »,62,,"
New: ~CA$14
Used:
",,,Box,,Retail,,Not yet rated,,,,,,
8160,6351-1,Surf N' Sail Camper,Surf Island Camper,Normal,Modern day,Town,Leisure,1992,View tags »BicycleBoatCamper VanCampingSpeedboatSurfingTrailer ,188,$19.00,"
New: ~CA$120
Used: ~CA$26
",10.1c,,Box,,Retail,,✭✭✭✭✩ 4.0 71 ratings 7 Reviews,2,,,,,
8161,6352-1,Cargomaster Crane,Europort Cargo Loader,Normal,Modern day,Town,Vehicles,1991,View tags »4X8 ContainerCraneMobile CraneTractor ,140,,"
New: ~CA$192
Used: ~CA$29
",,,Box,,Retail,,✭✭✭✭✩ 4.0 32 ratings 4 Reviews,1,,EAN: 5702010963522,,,
8162,6353-1,Coastal Cutter,Europort Coastguard Patrol,Normal,Modern day,Town,Coastguard,1991,View tags »BoatCoast GuardSpeedboat ,185,$19.00,"
New: ~CA$130
Used: ~CA$28
",10.3c,,Box,,Retail,,✭✭✭✭✩ 4.1 73 ratings 6 Reviews,2,,,,,
8163,6354-1,Pursuit Squad,Police Rapid Response Team,Normal,Modern day,Town,Police,1990,View tags »AircraftBoatHelicopterMotorcyclePickup TruckPolicePolice CarPolice HelicopterPropeller AircraftSpeedboatTrailerTruck ,171,$15.50,"
New: ~CA$124
Used: ~CA$19
",9.1c,,Box,,Retail,,✭✭✭✭✩ 3.7 69 ratings 8 Reviews,3,,,,,
8164,6355-1,Derby Trotter,Stable And Paddock,Normal,Modern day,Town,Leisure,1989,View tags »BaseplateCarriageHorseStable ,140,$14.00,"
New: ~CA$93
Used: ~CA$46
",10.0c,,Box,,Retail,,✭✭✭✭✩ 4.0 42 ratings 7 Reviews,1,,,,,
8165,6356-1,Med-Star Rescue Plane,Ambulance Plane,Normal,Modern day,Town,Medical,1988,View tags »AircraftAirplaneAmbulanceMedicalPropeller Aircraft ,159,$15.50,"
New: ~CA$201
Used: ~CA$35
",9.7c,,Box,,Retail,,✭✭✭✭✩ 4.0 64 ratings 7 Reviews,3,,EAN: 5702010963560,,,
8166,6357-1,Stunt 'Copter N' Truck,Heli-Transporter,Normal,Modern day,Town,Vehicles,1988,View tags »AircraftArticulated LorryHelicopterPropeller AircraftTrailerTransport VehicleTruck ,177,$17.00,"
New: ~CA$151
Used: ~CA$22
",9.6c,,Box,,Retail,,✭✭✭✭✩ 4.2 90 ratings 9 Reviews,2,,,,,
8167,6358-1,Snorkel Squad,Fire Engine With Extending Hoist,Normal,Modern day,Town,Fire,1987,View tags »8 Wheel VehicleArticulated LorryCherry PickerFire TruckTrailerTruck ,153,$13.50,"
New: ~CA$286
Used: ~CA$18
",8.8c,,Box,,Retail,,✭✭✭✭✩ 4.1 59 ratings 4 Reviews,2,,EAN: 5702010963584,,,
8168,6359-1,Horse Trailer,Horse Box With Trailer,Normal,Modern day,Town,Leisure,1986,View tags »4X4CarriageHorseOff RoaderTrailer ,141,$12.75,"
New: 
Used: ~CA$36
",9.0c,,Box,,Retail,,✭✭✭✭✩ 3.9 32 ratings 2 Reviews,1,,,,,
8169,6360-1,Weekend Cottage,Weekend Cottage,Normal,Modern day,Town,Leisure,1986,View tags »BaseplateBbqHouse ,113,$12.75,"
New: ~CA$278
Used: ~CA$64
",11.3c,,Box,,Retail,,✭✭✭✭✩ 4.1 30 ratings 2 Reviews,2,,,,,
8170,636-1,"Pull Back Motor, 3+",,Normal,Basic,Basic,Supplementaries,1996,View tags »,8,,"
New: ~CA$13
Used:
",,,,,,Red pull-back motor.,Not yet rated,,,,,,
8171,6361-1,Mobile Crane,Mobile Crane,Normal,Modern day,Town,Vehicles,1986,View tags »4X8 ContainerCargoCraneMobile Crane ,163,$12.75,"
New: ~CA$282
Used: ~CA$31
",7.8c,,Box,,Retail,Random set of the day on 30 Aug 2020,✭✭✭✭✩ 4.2 69 ratings 5 Reviews,1,,,,,
8172,6362-1,Post Office,Post Office,Normal,Modern day,Town,Postal,1982,View tags »BaseplateDelivery TruckMailPickup TruckPostPost Office ,133,,"
New: ~CA$568
Used: ~CA$38
",,,Box,,Retail,Random set of the day on 21 Aug 2018,✭✭✭✭✭ 4.3 61 ratings 10 Reviews,1,,,,,
