set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
853344-1,C$9.99,C$21.07,95.4%,12.2%,,
853345-1,C$9.99,C$26.76,148.1%,19.9%,,
853346-1,C$9.99,C$30.08,178.8%,13.8%,,
853352-1,C$13.49,~C$13.49,,,,
853353-1,C$12.99,,,,,
853358-1,C$44.99,C$152.55,222.9%,13.0%,,
853373-1,C$59.99,C$258.28,282.7%,12.2%,,
853378-1,C$15.49,C$26.10,29.0%,3.0%,,
853379-1,C$6.74,C$8.44,25.3%,2.9%,,
853380-1,C$6.74,C$46.25,586.6%,27.2%,,
853381-1,C$26.99,,,,,
853383-1,C$6.74,C$9.09,34.9%,1.9%,,
853393-1,C$16.99,C$23.94,18.3%,2.4%,,
853395-1,C$8.09,~C$8.09,,,,
853401-1,C$5.49,C$10.15,50.7%,5.9%,,
853402-1,C$5.49,C$10.77,59.9%,4.6%,,
853403-1,C$5.49,C$8.07,19.8%,2.7%,,
8534-1,C$9.44,C$179.09,1797.9%,11.9%,,
853429-1,C$6.99,C$16.40,102.8%,11.0%,,
853430-1,C$6.99,C$13.50,66.9%,7.9%,,
853432-1,C$20.24,C$55.77,175.6%,11.8%,,
853433-1,C$6.99,C$14.08,74.1%,15.5%,,
853439-1,C$15.99,C$27.47,56.7%,8.5%,,
853440-1,C$11.99,C$33.71,149.9%,16.9%,,
853441-1,C$17.99,C$22.75,12.4%,3.2%,,
853444-1,C$8.49,C$32.79,247.5%,18.7%,,
853447-1,C$21.99,C$39.04,70.2%,13.3%,,
853448-1,C$11.99,C$19.56,45.0%,7.8%,,
853449-1,C$6.99,C$16.86,108.5%,14.8%,,
853450-1,C$5.49,C$124.25,1744.5%,29.4%,,
853451-1,C$6.99,C$14.78,82.8%,15.8%,,
853452-1,C$5.49,C$20.24,200.4%,11.1%,,
853454-1,C$6.99,C$38.62,377.6%,28.8%,,
853455-1,C$6.99,C$12.12,80.0%,8.0%,,
853456-1,C$5.49,C$22.26,230.5%,17.0%,,
853461-1,C$5.49,C$8.86,31.5%,4.1%,,
853463-1,C$5.49,C$16.70,147.9%,21.0%,,
853464-1,C$10.79,,,,,
853465-1,C$15.99,C$29.63,69.0%,11.5%,,
853469-1,C$6.99,C$13.49,66.8%,6.2%,,
853470-1,C$6.99,C$9.60,18.7%,6.1%,,
853471-1,C$6.99,C$11.65,44.1%,4.1%,,
853472-1,C$5.49,C$234.91,3387.2%,30.3%,,
853474-1,C$5.49,C$7.43,10.2%,5.3%,,
853475-1,C$8.09,C$8.99,11.2%,2.1%,,
853476-1,C$8.49,C$13.15,39.3%,6.8%,,
853503-1,C$15.99,~C$17.54,,,,
853507-1,C$21.59,C$250.98,1062.7%,32.4%,,
853508-1,C$26.99,,,,,
8535-1,C$9.44,C$202.49,2045.8%,13.4%,,
853515-1,C$17.99,C$23.90,18.1%,3.6%,,
853516-1,C$17.99,C$38.85,92.0%,12.3%,,
853520-1,C$6.99,C$6.68,,,,
853521-1,C$6.99,C$51.91,541.9%,33.4%,,
853522-1,C$6.99,C$8.03,,,,
853524-1,C$6.99,C$7.68,,,,
853525-1,C$6.99,C$8.38,3.7%,1.1%,,
853529-1,C$24.99,~C$26.99,,,,
853534-1,C$6.99,C$6.66,,,,
853538-1,C$6.99,C$6.66,,,,
853544-1,C$17.99,C$26.99,33.4%,14.2%,,
853547-1,C$6.99,C$10.76,33.1%,7.2%,,
853548-1,C$6.99,C$10.10,24.9%,5.9%,,
853549-1,C$6.99,C$5.18,,,,
853550-1,C$6.99,C$10.79,33.4%,7.0%,,
853551-1,C$6.99,C$12.11,49.7%,9.6%,,
853555-1,C$17.99,~C$20.24,,,,
853556-1,C$17.99,C$28.30,39.8%,8.8%,,
853559-1,C$6.99,C$12.81,58.4%,7.0%,,
853560-1,C$6.99,C$12.81,58.4%,9.9%,,
853561-1,C$6.99,~C$8.09,,,,
853562-1,C$6.99,C$21.14,161.4%,23.9%,,
853563-1,C$6.99,C$14.55,80.0%,12.3%,,
853564-1,C$17.99,~C$20.24,,,,
853568-1,C$6.99,C$22.37,176.6%,16.2%,,
853569-1,C$15.99,C$22.48,28.2%,4.9%,,
853570-1,C$17.99,C$26.93,33.1%,7.8%,,
853571-1,C$6.99,,,,retail,
853572-1,C$6.99,C$18.83,132.9%,13.7%,,
853573-1,C$6.99,C$10.22,26.4%,8.8%,,
853574-1,C$9.99,C$16.61,53.9%,12.0%,,
853575-1,C$19.99,C$33.74,47.1%,12.3%,,
853580-1,C$19.99,C$45.16,96.9%,19.9%,,
853590-1,C$6.99,C$8.36,3.3%,8.8%,,
853591-1,C$6.99,C$11.12,37.6%,11.6%,,
853592-1,C$6.99,C$7.05,,,,
853599-1,,C$15.85,,,,
853600-1,,C$18.67,,,,
853601-1,C$6.74,C$16.25,141.3%,14.5%,,
853602-1,C$6.99,C$7.14,,,,
853603-1,C$6.99,C$23.85,195.0%,18.6%,,
853604-1,C$6.99,,,,retail,
853605-1,C$6.99,C$13.35,65.1%,13.9%,,
853609-1,C$17.99,C$27.32,35.0%,18.1%,,
8536-1,C$9.44,C$157.56,1569.7%,12.6%,,
853610-1,C$17.99,C$29.90,47.8%,23.4%,,
853611-1,C$19.99,C$30.42,32.6%,6.9%,,
853632-1,C$5.99,C$42.07,524.4%,32.4%,,
853633-1,C$5.99,C$11.15,65.5%,13.7%,,
853634-1,C$5.99,C$11.33,68.1%,14.3%,,
853635-1,C$5.99,C$9.45,40.3%,13.5%,,
853636-1,C$5.99,C$11.38,68.9%,7.8%,,
853637-1,C$12.99,C$17.36,28.7%,11.3%,,
853638-1,C$21.99,C$33.74,47.1%,14.1%,,
853639-1,C$9.99,C$12.15,12.6%,4.8%,,
853642-1,C$12.99,,,,retail,
853644-1,C$12.99,~C$13.49,,,,
853645-1,C$12.99,~C$13.49,,,,
853646-1,C$15.99,~C$17.54,,,,
853647-1,C$9.99,C$18.89,75.1%,14.0%,,
853648-1,C$5.99,C$11.11,64.9%,18.9%,,
853649-1,C$15.99,C$18.75,6.9%,1.8%,,
853650-1,C$24.99,C$49.02,81.6%,16.8%,,
853651-1,C$15.99,C$20.24,15.4%,7.2%,,
853652-1,C$29.99,C$35.63,5.6%,1.4%,,
853653-1,C$33.74,C$48.24,43.0%,13.0%,,
853654-1,C$5.99,~C$6.74,,,,
853656-1,C$29.99,C$78.96,134.1%,28.9%,,
853659-1,C$9.99,~C$10.79,,,,
853660-1,C$33.74,C$81.09,140.4%,32.4%,,
853663-1,C$11.99,C$16.19,20.0%,9.2%,,
853664-1,C$6.99,C$7.53,11.8%,3.8%,,
853665-1,C$9.99,~C$10.79,,,,
853666-1,C$5.99,,,,retail,
853667-1,C$5.99,,,,retail,
853668-1,C$13.49,C$32.44,140.5%,32.4%,,
853669-1,C$7.99,~C$8.09,,,,
853670-1,C$9.99,C$16.19,50.1%,9.1%,,
853671-1,C$29.99,C$41.78,23.8%,13.1%,,
853676-1,C$15.99,C$20.24,15.4%,8.7%,,
853677-1,C$15.99,C$22.30,27.2%,9.7%,,
853678-1,C$15.99,C$15.28,,,,
853679-1,C$17.99,~C$20.24,,,,
853680-1,C$15.99,~C$17.54,,,,
853681-1,C$17.99,~C$20.24,,,,
853682-1,C$5.99,C$8.06,19.6%,6.9%,,
853683-1,C$5.99,C$7.72,14.6%,7.0%,,
853684-1,C$5.99,C$10.73,59.3%,10.4%,,
853685-1,C$5.99,C$9.45,40.3%,5.2%,,
853686-1,C$5.99,C$41.38,514.2%,32.4%,,
853687-1,C$15.99,C$27.14,34.1%,11.5%,,
853688-1,C$9.99,~C$10.79,,,,
853689-1,C$15.99,C$202.49,1054.7%,34.2%,,
853690-1,C$5.99,C$7.98,18.4%,4.6%,,
853691-1,C$29.99,C$39.99,18.5%,5.9%,,
853692-1,C$29.99,C$37.45,11.0%,3.3%,,
853694-1,C$5.99,C$8.01,18.8%,4.0%,,
853695-1,C$5.99,C$7.34,9.0%,3.6%,,
853696-1,C$5.99,C$7.16,6.2%,1.8%,,
853697-1,C$5.99,C$8.64,28.3%,6.8%,,
853698-1,C$5.99,C$11.11,64.9%,13.0%,,
853699-1,C$5.99,C$12.19,81.0%,11.7%,,
853700-1,C$15.99,C$21.28,21.3%,5.9%,,
853701-1,C$24.99,~C$26.99,,,,
853702-1,C$24.99,C$50.67,87.7%,14.1%,,
853703-1,C$5.99,C$6.75,0.2%,3.9%,,
853704-1,C$5.99,C$8.87,31.7%,8.5%,,
853705-1,C$5.99,C$10.71,58.9%,13.8%,,
853706-1,C$5.99,,,,retail,
853707-1,C$5.99,C$12.53,86.0%,17.7%,,
853708-1,C$5.99,C$9.14,35.7%,9.5%,,
8537-1,C$20.24,C$104.36,415.7%,6.2%,,
853711-1,C$6.74,C$14.46,114.6%,18.9%,,
853712-1,C$6.74,C$14.47,114.8%,21.1%,,
853713-1,C$6.74,C$14.28,112.0%,16.6%,,
853744-1,C$15.99,C$19.04,8.5%,5.8%,,
853747-1,C$11.99,C$21.60,60.2%,17.1%,,
853748-1,C$11.99,,,,retail,
853749-1,C$29.99,C$41.51,23.0%,7.6%,,
853751-1,C$11.99,,,,retail,
853753-1,C$11.99,,,,retail,
853756-1,C$5.99,C$6.78,0.6%,3.4%,,
853757-1,C$5.99,C$10.35,53.7%,13.0%,,
853758-1,C$10.99,C$16.82,38.6%,6.4%,,
853759-1,C$10.99,C$21.72,79.0%,13.5%,,
853760-1,C$18.99,C$20.64,2.0%,,,
853762-1,C$12.14,~C$12.14,,,,
853763-1,C$17.54,~C$17.54,,,,
853765-1,C$29.99,C$40.50,20.0%,6.9%,,
853767-1,C$8.49,C$15.08,59.8%,18.1%,,
853768-1,C$8.49,C$10.22,8.3%,3.1%,,
853769-1,C$5.99,,,,retail,
853770-1,C$5.99,,,,retail,
853771-1,C$5.99,C$10.79,60.1%,13.6%,,
853772-1,C$5.99,C$10.13,50.3%,14.8%,,
853774-1,C$10.99,C$16.32,34.5%,9.0%,,
853775-1,C$10.99,C$16.77,38.2%,8.5%,,
853776-1,C$10.99,C$16.00,31.8%,7.2%,,
853777-1,C$10.99,C$17.67,45.6%,9.1%,,
853778-1,C$10.99,C$16.50,35.9%,5.2%,,
853780-1,C$11.99,C$22.59,67.5%,22.2%,,
853781-1,C$5.99,,,,retail,
853782-1,C$5.99,,,,retail,
853788-1,C$9.99,C$14.27,32.3%,12.5%,,
853790-1,C$9.99,,,,retail,
853791-1,C$17.54,~C$17.54,,,,
853792-1,C$6.74,,,,retail,
853793-1,,,,,retail,
853794-1,C$5.99,,,,retail,
853795-1,C$5.99,,,,retail,
853796-1,C$9.99,C$21.84,102.5%,18.2%,,
853797-1,C$40.49,C$44.63,10.2%,5.0%,,
853798-1,C$15.99,C$18.59,6.0%,2.5%,,
853802-1,C$29.99,,,,retail,
8538-1,C$94.49,C$255.96,170.9%,6.6%,,
853815-1,C$9.99,C$21.80,102.1%,20.2%,,
853816-1,C$5.99,C$9.44,40.1%,10.0%,,
853818-1,C$5.99,,,,retail,
853819-1,C$5.99,,,,retail,
853835-1,,C$164.71,,1.6%,,
853840-1,C$9.99,C$19.48,80.6%,27.9%,,
853841-1,C$9.99,C$20.05,85.9%,29.4%,,
853842-1,C$9.99,C$21.94,103.4%,33.4%,,
853844-1,C$6.74,,,,retail,
853865-1,C$16.99,,,,retail,
853866-1,C$16.99,,,,retail,
853867-1,C$5.99,,,,retail,
853868-1,C$5.99,,,,retail,
853872-1,C$12.99,,,,retail,
853874-1,C$11.49,,,,retail,
853875-1,C$11.49,,,,retail,
853876-1,C$9.99,,,,retail,
853877-1,C$16.99,,,,retail,
853878-1,C$16.99,,,,retail,
853880-1,C$29.99,,,,retail,
853881-1,C$8.49,,,,retail,
853882-1,C$5.99,,,,retail,
853883-1,C$5.99,,,,retail,
853886-1,C$33.74,,,,retail,
853889-1,C$9.99,,,,retail,
853890-1,C$12.99,,,,retail,
853891-1,C$18.99,,,,retail,
853892-1,C$12.99,,,,retail,
853893-1,C$5.99,,,,retail,
853894-1,C$5.99,,,,retail,
853899-1,C$11.49,C$36.21,198.3%,36.2%,,
853900-1,C$9.99,,,,retail,
853901-1,C$9.99,,,,retail,
853902-1,C$8.49,,,,retail,
853903-1,C$6.99,,,,retail,
853904-1,C$6.99,,,,retail,
853905-1,C$6.99,,,,retail,
853906-1,C$13.49,,,,retail,
853907-1,C$9.99,C$20.24,87.6%,35.4%,,
853908-1,C$9.99,,,,retail,
8539-1,C$121.49,C$619.11,409.6%,8.6%,,
853910-1,C$18.99,,,,retail,
853911-1,C$12.99,,,,retail,
853912-1,C$12.99,,,,retail,
853913-1,C$12.99,,,,retail,
853914-1,C$12.99,,,,retail,
853915-1,C$9.99,,,,retail,
853917-1,C$19.99,,,,retail,
853918-1,C$5.99,,,,retail,
853919-1,C$18.99,,,,retail,
853920-1,C$18.99,,,,retail,
853921-1,C$7.99,,,,retail,
853922-1,C$12.14,~C$12.14,,,,
853946-1,C$5.99,,,,retail,
853947-1,C$5.99,,,,retail,
853948-1,C$5.99,,,,retail,
853949-1,C$5.99,,,,retail,
853950-1,C$5.99,,,,retail,
853951-1,C$5.99,,,,retail,
853952-1,C$5.99,,,,retail,
853953-1,C$5.99,,,,retail,
853954-1,C$5.99,,,,retail,
853955-1,C$5.99,,,,retail,
853956-1,C$5.99,,,,retail,
853958-1,,C$11.48,,36.2%,,
853960-1,C$6.99,,,,retail,
853967-1,C$119.99,C$200.91,24.0%,22.8%,,
853968-1,C$6.99,,,,retail,
853969-1,C$6.99,,,,retail,
853970-1,C$6.99,,,,retail,
853984-1,C$13.49,,,,retail,
853985-1,C$8.99,,,,retail,
853986-1,C$24.29,,,,retail,
853989-1,C$8.49,,,,retail,
853990-1,C$10.99,C$16.04,48.7%,25.1%,,
853992-1,C$6.99,,,,retail,
853993-1,C$6.99,,,,retail,
853995-1,C$6.99,,,,retail,
853996-1,C$6.99,,,,retail,
853997-1,C$6.99,,,,retail,
853998-1,C$6.99,,,,retail,
853999-1,C$6.99,,,,retail,
854000-1,C$6.99,,,,retail,
854003-1,C$8.09,,,,retail,
854004-1,C$8.09,,,,retail,
854005-1,C$6.99,,,,retail,
854006-1,C$6.99,,,,retail,
8540-1,C$4.04,C$52.87,1209.7%,11.5%,,
854011-1,C$12.99,,,,retail,
854012-1,C$13.49,,,,retail,
854013-1,,,,,retail,
854015-1,C$20.24,,,,retail,
854018-1,C$12.99,,,,retail,
854021-1,C$8.49,,,,retail,
854030-1,C$13.49,,,,retail,
854031-1,C$6.74,,,,retail,
854032-1,C$13.49,,,,retail,
854033-1,C$13.49,,,,retail,
854034-1,C$33.74,,,,retail,
854035-1,C$13.49,,,,retail,
854037-1,C$9.99,,,,retail,
854038-1,C$9.99,,,,retail,
854039-1,C$6.99,,,,retail,
854040-1,C$6.99,,,,retail,
854041-1,C$6.99,,,,retail,
854048-1,C$11.99,,,,retail,
854049-1,C$12.99,~C$13.49,,,,
854050-1,C$12.99,,,,retail,
854064-1,C$6.99,,,,retail,
854065-1,C$11.99,,,,retail,
854066-1,C$6.99,,,,retail,
854068-1,C$6.99,,,,retail,
854078-1,C$6.99,,,,retail,
854088-1,C$13.49,,,,retail,
854-1,,C$430.42,,,,
8541-1,C$4.04,C$47.12,1067.2%,9.1%,,
854114-1,C$6.99,,,,retail,
854115-1,C$6.99,,,,retail,
854116-1,C$6.99,,,,retail,
854124-1,C$6.99,,,,retail,
8542-1,C$4.04,C$52.65,1204.3%,7.4%,,
8543-1,C$4.04,C$32.99,717.4%,8.1%,,
8544-1,C$4.04,C$45.06,1016.4%,7.6%,,
8545-1,C$4.04,C$44.93,1013.0%,6.1%,,
8546-1,C$20.24,C$205.58,915.9%,13.3%,,
8547-1,C$349.99,C$499.73,32.2%,7.2%,,
8548-1,C$47.24,C$241.79,411.9%,10.0%,,
8549-1,C$67.49,C$264.61,292.1%,7.5%,,
8550-1,C$4.04,C$20.24,401.3%,6.0%,,
855-1,,"C$1,004.51",,,,
8551-1,C$4.04,C$22.56,458.9%,8.9%,,
8552-1,C$4.04,C$22.94,468.2%,7.4%,,
8553-1,C$4.04,C$26.95,567.6%,8.0%,,
8554-1,C$4.04,C$28.05,595.0%,9.1%,,
8555-1,C$4.04,C$29.96,642.1%,11.5%,,
8556-1,C$20.24,C$89.61,342.8%,7.0%,,
8557-1,C$47.24,C$269.99,471.6%,8.6%,,
8558-1,C$80.99,C$383.39,373.4%,4.3%,,
8559-1,C$2.55,C$36.10,1314.8%,15.9%,,
8560-1,C$10.79,C$60.57,461.6%,7.3%,,
856-1,,C$762.76,,,,
8561-1,C$10.79,C$74.26,588.5%,8.4%,,
8562-1,C$10.79,C$67.28,523.8%,8.0%,,
8563-1,C$10.79,C$115.64,972.1%,11.3%,,
8564-1,C$10.79,C$103.95,863.7%,13.0%,,
8565-1,C$10.79,C$121.03,1022.0%,11.0%,,
8566-1,C$10.79,C$58.66,443.8%,7.4%,,
8567-1,C$10.79,C$77.95,622.7%,6.3%,,
8568-1,C$10.79,C$51.14,374.1%,6.4%,,
8569-1,C$2.69,C$38.14,1319.6%,8.9%,,
8570-1,C$10.79,C$71.10,559.2%,9.6%,,
857-1,,"C$1,185.80",,,,
8571-1,C$10.79,C$115.45,970.3%,9.1%,,
8572-1,C$10.79,C$136.09,1161.7%,15.1%,,
8573-1,C$10.79,C$47.68,342.1%,4.1%,,
8574-1,C$10.79,C$85.73,694.7%,6.6%,,
8575-1,C$10.79,C$94.49,776.0%,9.6%,,
8576-1,C$10.79,C$66.87,519.9%,6.9%,,
8577-1,C$10.79,C$64.11,494.4%,8.1%,,
8578-1,C$10.79,C$87.59,712.0%,6.2%,,
8580-1,C$2.69,C$16.63,519.1%,6.5%,,
858-1,C$93.15,C$977.67,949.6%,6.1%,,
8581-1,C$5.39,C$33.75,526.6%,8.8%,,
8582-1,C$5.39,C$45.89,751.9%,10.3%,,
8583-1,C$5.39,C$49.94,827.1%,9.4%,,
8584-1,C$5.39,C$48.01,791.2%,6.8%,,
8585-1,C$5.39,C$40.70,655.6%,10.3%,,
8586-1,C$5.39,C$32.06,495.2%,7.8%,,
8587-1,C$12.14,C$43.20,256.0%,3.6%,,
8588-1,C$12.14,C$69.17,470.0%,5.4%,,
8589-1,C$12.14,C$74.24,511.7%,6.8%,,
8590-1,C$12.14,C$60.62,399.4%,10.4%,,
8591-1,C$12.14,C$67.39,455.3%,11.1%,,
8592-1,C$12.14,C$69.69,474.2%,10.8%,,
8593-1,C$26.99,C$247.94,818.8%,11.7%,,
8594-1,C$26.99,C$161.87,499.8%,9.2%,,
8595-1,C$26.99,C$119.04,341.1%,8.8%,,
8596-1,C$40.49,C$468.32,1056.7%,13.4%,,
8597-1,C$2.55,C$31.63,1139.7%,15.0%,,
8598-1,C$2.69,C$43.04,1502.0%,13.0%,,
8599-1,C$2.69,C$101.18,3666.3%,10.6%,,
8600-1,C$2.55,C$27.43,975.1%,10.8%,,
8601-1,C$10.79,C$168.45,1461.7%,9.3%,,
8601-2,C$26.99,C$143.68,432.4%,11.0%,,
8602-1,C$10.79,C$64.72,500.0%,12.0%,,
8603-1,C$10.79,C$67.46,525.4%,7.1%,,
8604-1,C$10.79,C$84.15,680.1%,10.4%,,
8605-1,C$10.79,C$41.70,286.6%,8.2%,,
8606-1,C$10.79,C$46.13,327.7%,5.6%,,
8607-1,C$5.39,C$25.33,370.2%,9.5%,,
8608-1,C$5.39,C$39.64,635.8%,9.8%,,
8609-1,C$5.39,C$16.34,203.3%,5.8%,,
8610-1,C$5.39,C$23.00,327.1%,8.3%,,
8611-1,C$5.39,C$35.26,554.6%,12.0%,,
8612-1,C$5.39,C$45.35,741.9%,12.8%,,
8613-1,C$2.69,C$29.69,1005.0%,11.7%,,
8614-1,C$12.14,C$39.10,222.1%,15.4%,,
8615-1,C$12.14,C$53.97,344.7%,10.8%,,
8616-1,C$12.14,C$41.76,244.0%,8.0%,,
8617-1,C$12.14,C$43.25,256.4%,9.4%,,
8618-1,C$12.14,C$45.23,272.6%,7.8%,,
8619-1,C$12.14,C$44.97,270.5%,9.2%,,
8620-1,C$18.90,C$151.70,702.6%,6.2%,,
862011-1,,C$6.75,,8.2%,,
8621-1,C$26.99,C$104.63,287.7%,7.8%,,
8622-1,C$26.99,C$115.28,327.2%,5.0%,,
8623-1,C$26.99,C$113.71,321.4%,8.7%,,
8624-1,C$80.99,C$168.74,108.4%,3.8%,,
8625-1,C$33.74,C$232.04,587.8%,8.2%,,
8626-1,C$33.74,C$269.99,700.3%,8.8%,,
8630-1,C$40.49,C$112.31,177.4%,5.9%,,
8631-1,C$13.49,C$79.53,489.7%,7.3%,,
8632-1,C$26.99,C$53.00,96.4%,5.7%,,
8633-1,C$53.99,C$158.07,192.8%,9.8%,,
8634-1,C$67.49,C$135.00,100.0%,3.7%,,
8635-1,C$121.49,C$468.99,286.0%,8.2%,,
8636-1,C$67.49,C$207.00,206.7%,6.6%,,
8637-1,C$94.49,C$434.24,359.6%,7.1%,,
8638-1,C$64.99,C$81.72,21.1%,2.5%,,
8639-1,C$89.99,C$115.79,22.5%,1.8%,,
8640-1,C$36.45,C$166.66,357.2%,4.6%,,
8641-1,C$5.39,C$16.07,198.2%,5.3%,,
8642-1,C$5.39,C$27.00,401.3%,6.8%,,
8643-1,C$5.39,C$21.11,292.0%,6.9%,,
8644-1,C$5.39,C$15.38,185.5%,7.3%,,
8645-1,C$13.49,C$38.87,188.2%,6.4%,,
8646-1,C$13.49,C$134.99,900.9%,14.3%,,
8647-1,C$13.49,C$41.78,209.8%,7.5%,,
8648-1,C$13.49,C$24.00,78.0%,4.0%,,
8649-1,C$67.49,C$255.15,278.1%,7.2%,,
8650-1,C$26.99,C$52.52,94.6%,6.8%,,
8651-1,C$26.99,C$148.46,450.1%,8.4%,,
8652-1,C$53.99,C$421.23,680.2%,9.2%,,
8653-1,C$134.99,C$941.95,597.8%,15.0%,,
8654-1,C$107.99,C$328.63,204.3%,7.3%,,
8655-1,C$5.39,C$13.47,150.1%,5.1%,,
8656-1,C$5.39,C$13.37,148.1%,4.3%,,
8657-1,C$5.39,C$25.64,375.9%,8.4%,,
8658-1,C$5.39,C$20.24,275.7%,9.2%,,
8660-1,C$56.70,C$328.48,479.3%,6.5%,,
8661-1,C$5.39,C$25.65,376.2%,5.4%,,
8662-1,C$5.39,C$24.30,351.1%,11.4%,,
8663-1,C$5.39,C$17.52,225.3%,6.6%,,
8664-1,C$5.39,C$26.22,386.7%,12.0%,,
8665-1,C$5.39,C$24.65,357.6%,7.9%,,
8666-1,C$5.39,C$15.43,186.5%,6.3%,,
8667-1,C$13.49,C$33.16,145.8%,6.6%,,
8668-1,C$13.49,C$29.57,119.2%,4.2%,,
8669-1,C$13.49,C$39.88,195.7%,4.0%,,
8670-1,C$13.49,C$30.16,123.6%,2.9%,,
8671-1,C$53.99,C$305.51,465.9%,9.5%,,
8672-1,C$80.99,C$270.41,233.9%,5.4%,,
8673-1,C$26.99,C$105.11,289.5%,6.2%,,
8674-1,C$188.99,"C$1,253.35",563.2%,9.5%,,
8675-1,C$215.99,C$539.91,150.0%,3.8%,,
8676-1,C$80.99,C$211.01,160.5%,4.6%,,
8677-1,C$39.99,C$94.59,133.6%,8.7%,,
8678-1,C$39.99,C$79.91,97.4%,6.9%,,
8679-1,C$119.99,C$159.11,31.0%,3.3%,,
8680-1,C$97.20,C$534.03,449.4%,5.1%,,
8681-1,C$53.99,C$82.89,53.5%,4.0%,,
8682-1,C$67.49,C$182.63,170.6%,4.8%,,
8683-0,C$2.99,C$29.63,1003.0%,25.5%,,
8683-1,C$2.99,C$31.70,1079.9%,12.0%,,
8683-10,C$2.99,C$17.54,552.8%,19.4%,,
8683-11,C$2.99,C$38.18,1321.1%,21.1%,,
8683-12,C$2.99,C$14.74,448.7%,8.7%,,
8683-13,C$2.99,C$18.64,594.0%,10.4%,,
8683-14,C$2.99,C$21.34,694.5%,10.2%,,
8683-15,C$2.99,C$16.20,503.0%,8.0%,,
8683-16,C$2.99,C$19.33,619.6%,20.5%,,
8683-17,C$63.99,C$387.52,348.6%,8.6%,,
8683-18,C$179.40,"C$1,292.94",698.2%,12.1%,,
8683-2,C$2.99,C$22.76,747.2%,9.5%,,
8683-3,C$2.99,C$18.56,591.0%,10.1%,,
8683-4,C$2.99,C$42.77,1492.0%,12.5%,,
8683-5,C$2.99,C$32.49,1109.5%,16.6%,,
8683-6,C$2.99,C$16.39,510.1%,7.8%,,
8683-7,C$2.99,C$22.29,729.6%,10.2%,,
8683-8,C$2.99,C$20.07,647.2%,21.0%,,
8683-9,C$2.99,C$23.09,759.3%,11.7%,,
8684-0,C$2.99,C$24.95,828.6%,24.1%,,
8684-1,C$2.99,C$14.90,454.8%,9.4%,,
8684-10,C$2.99,C$8.10,201.5%,6.6%,,
8684-11,C$2.99,C$9.11,239.2%,7.4%,,
8684-12,C$2.99,C$18.75,598.0%,20.7%,,
8684-13,C$2.99,C$12.47,364.3%,10.4%,,
8684-14,C$2.99,C$8.69,223.6%,6.7%,,
8684-15,C$2.99,C$16.43,511.6%,12.5%,,
8684-16,C$2.99,C$21.48,699.5%,10.5%,,
8684-17,C$63.99,C$196.02,356.0%,6.6%,,
8684-18,C$179.40,C$608.12,277.3%,13.7%,,
8684-2,C$2.99,C$29.90,1013.1%,11.5%,,
8684-3,C$2.99,C$6.43,139.2%,4.8%,,
8684-4,C$2.99,C$8.78,226.6%,7.1%,,
8684-5,C$2.99,C$16.38,509.5%,19.2%,,
8684-6,C$2.99,C$6.10,127.1%,6.5%,,
8684-7,C$2.99,C$10.48,289.9%,7.1%,,
8684-8,C$2.99,C$8.10,201.5%,7.9%,,
8684-9,C$2.99,C$15.90,492.0%,17.1%,,
8685-1,C$17.54,C$102.49,484.4%,12.1%,,
8686-1,C$17.54,C$144.05,721.4%,14.2%,,
8687-1,C$17.54,C$109.00,521.6%,11.4%,,
8688-1,C$17.54,C$92.14,425.4%,11.3%,,
8689-1,C$17.54,C$62.19,254.7%,11.6%,,
8690-1,C$17.54,C$59.95,241.9%,10.1%,,
8691-1,C$17.54,C$161.87,823.0%,13.2%,,
8692-1,C$17.54,C$133.07,658.8%,11.6%,,
8693-1,C$17.54,C$116.65,565.2%,11.8%,,
8694-1,C$17.54,C$107.87,515.1%,10.2%,,
8695-1,C$17.54,C$77.34,341.0%,9.9%,,
8696-1,C$17.54,C$97.40,455.4%,8.4%,,
8697-1,C$26.99,C$172.77,540.2%,11.1%,,
8698-1,C$26.99,C$62.21,130.5%,5.8%,,
8699-1,C$40.49,C$274.55,578.1%,15.3%,,
8700-1,C$35.10,C$129.15,268.0%,5.5%,,
870-1,,C$185.18,,,,
8701-1,C$26.99,C$53.99,100.1%,5.1%,,
8702-1,C$26.99,C$59.86,121.8%,3.4%,,
8703-1,C$13.49,C$60.74,350.4%,5.5%,,
8704-1,C$13.49,C$41.45,207.3%,15.1%,,
8705-1,C$13.49,C$40.49,200.2%,7.2%,,
8706-1,C$13.49,C$40.37,199.3%,6.7%,,
8707-1,C$36.44,C$215.72,492.0%,8.9%,,
8708-1,C$67.49,C$388.25,475.3%,11.3%,,
8709-1,C$107.99,C$497.85,361.0%,9.4%,,
8710-1,C$16.20,C$75.51,366.1%,2.7%,,
871-1,,C$106.89,,,,
8712-1,C$11.14,C$77.45,595.4%,6.3%,,
8714-1,C$12.14,C$181.68,1397.0%,10.8%,,
8715-1,C$26.99,C$212.10,685.9%,14.7%,,
8719-1,C$2.69,C$5.09,89.4%,9.3%,,
8720-1,C$48.59,C$72.91,50.1%,2.5%,,
872-1,C$26.33,C$99.44,277.7%,6.1%,,
8721-1,C$5.39,C$26.68,395.2%,9.2%,,
8722-1,C$5.39,C$27.08,402.8%,8.7%,,
