set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
10281-1,C$69.99,,,,retail,
10285-1,C$69.99,C$123.84,66.8%,9.5%,,
10287-1,C$229.49,~C$229.49,,,,
1029-1,,C$145.18,,9.0%,,
102A-1,C$16.86,,,,,
1030-1,C$101.24,C$129.34,27.8%,,,
103-1,,C$90.21,,,,
1031-1,C$21.26,,,,,
103-2,C$13.43,C$723.74,5287.9%,,,
1032-1,C$107.99,C$251.60,133.0%,3.3%,,
1033-1,,C$25.30,,,,
1034-1,C$174.15,C$618.18,255.0%,3.3%,,
1038-1,,C$123.55,,,,
1039-1,,C$95.96,,,,
1040-1,,C$197.79,,,,
10401-1,C$5.99,C$10.50,55.9%,11.7%,,
1040-2,,,,,,
10402-1,C$12.99,C$16.09,19.3%,5.3%,,
10403-1,C$24.99,C$27.16,0.7%,,,
10404-1,C$34.99,C$46.79,15.6%,4.0%,,
10405-1,C$69.99,C$106.45,31.4%,7.7%,,
104-1,,C$39.80,,,,
1041-1,,,,,,
1041-2,C$49.26,,,,,
1042-1,,,,,,
1043-1,,,,,,
1044-1,,,,,,
1045-1,,,,,,
1045-2,C$51.98,,,,,
1046-1,,,,,,
1047-1,,,,,,
1048-1,C$10.80,,,,,
1049-1,,,,,,
10500-1,C$34.99,C$80.04,97.7%,9.4%,,
1050-1,,C$377.04,,,,
10501-1,C$5.99,C$8.14,20.8%,3.5%,,
10502-1,C$34.99,C$357.75,783.6%,22.7%,,
10503-1,C$17.99,C$28.80,42.3%,3.3%,,
10504-1,C$39.99,C$125.10,164.8%,13.2%,,
10505-1,C$69.99,C$176.62,118.1%,12.5%,,
10506-1,C$24.99,C$53.93,99.8%,17.1%,,
10507-1,C$49.99,C$222.28,266.0%,36.4%,,
10508-1,C$129.99,C$300.44,102.3%,18.7%,,
10509-1,C$14.99,C$151.19,647.1%,24.6%,,
105-1,,C$470.19,,13.2%,,
10510-1,C$24.99,C$54.35,61.1%,7.7%,,
10511-1,C$39.99,C$119.48,121.3%,9.9%,,
10512-1,C$14.99,C$53.74,165.6%,12.5%,,
10513-1,C$24.99,C$57.01,69.0%,9.0%,,
10514-1,C$39.99,C$235.56,336.3%,22.5%,,
10515-1,C$29.99,C$135.31,234.2%,14.6%,,
10516-1,C$17.99,C$86.31,326.5%,15.5%,,
10517-1,C$12.99,C$40.49,130.9%,9.5%,,
10518-1,C$19.99,C$161.99,500.3%,23.3%,,
10519-1,C$24.99,C$104.81,288.4%,10.2%,,
105-2,,,,,,
10520-1,C$24.99,C$138.32,412.6%,16.6%,,
10521-1,C$8.99,C$16.56,75.5%,8.5%,,
10522-1,C$12.99,C$54.26,302.3%,19.7%,,
10524-1,C$24.99,C$71.89,166.4%,25.4%,,
10525-1,C$59.99,C$236.25,191.7%,24.8%,,
10526-1,C$29.99,C$44.91,10.9%,3.2%,,
10527-1,C$17.99,C$67.38,233.0%,20.1%,,
10528-1,C$19.99,C$67.37,149.6%,17.1%,,
10529-1,C$17.99,C$30.19,49.2%,4.5%,,
1053-1,,"C$1,425.82",,,,
10531-1,C$39.99,C$195.64,314.2%,15.7%,,
10532-1,C$24.99,C$101.16,199.8%,17.4%,,
10538-1,C$29.99,C$125.13,209.1%,16.9%,,
10539-1,C$24.99,C$53.99,60.0%,8.2%,,
1054-1,,C$246.23,,3.3%,,
10542-1,C$39.99,C$99.56,110.8%,13.9%,,
10543-1,C$19.99,C$72.98,170.4%,14.2%,,
10544-1,C$29.99,C$80.69,99.3%,15.8%,,
10545-1,C$49.99,C$105.00,55.6%,9.0%,,
10546-1,C$24.99,C$43.73,29.6%,3.8%,,
10550-1,C$24.99,C$47.24,75.0%,7.2%,,
10552-1,C$19.99,C$112.13,315.5%,21.2%,,
10553-1,C$12.99,C$40.49,130.9%,10.0%,,
10554-1,C$14.99,C$37.48,85.2%,13.2%,,
10555-1,C$39.99,C$260.51,543.4%,36.4%,,
10556-1,C$49.99,C$159.89,163.3%,7.0%,,
10557-1,C$69.99,C$177.73,119.5%,12.2%,,
10558-1,C$19.99,C$69.75,158.5%,16.3%,,
10559-1,C$15.99,C$52.27,198.1%,14.3%,,
10560-1,C$15.99,~C$17.54,,,,
1056-1,,"C$1,017.48",,,,
10561-1,C$19.99,C$60.74,125.1%,12.9%,,
10565-1,C$69.99,C$128.24,58.3%,4.9%,,
10566-1,C$29.99,C$52.38,55.3%,9.5%,,
10567-1,C$19.99,C$41.85,55.1%,6.2%,,
10568-1,C$12.99,C$26.97,100.0%,12.5%,,
10569-1,C$29.99,C$107.70,166.0%,16.6%,,
10570-1,C$17.99,C$53.20,162.9%,18.8%,,
10571-1,C$34.99,C$46.22,14.2%,8.4%,,
10572-1,C$34.99,C$53.99,33.3%,3.6%,,
10573-1,C$14.99,C$103.36,410.7%,29.1%,,
10574-1,C$14.99,C$219.81,986.2%,30.4%,,
10575-1,C$34.99,C$37.79,,,,
10576-1,C$8.99,C$20.99,122.5%,11.1%,,
10577-1,C$69.99,C$182.12,124.9%,14.7%,,
10579-1,C$15.99,C$52.00,196.5%,15.7%,,
10580-1,C$59.99,C$142.51,111.2%,19.2%,,
10581-1,C$12.99,C$66.20,390.9%,28.9%,,
10582-1,C$24.99,C$87.01,222.4%,20.2%,,
10583-1,C$29.99,C$128.56,281.1%,21.7%,,
10584-1,C$69.99,C$133.66,65.0%,10.3%,,
10585-1,C$12.99,C$58.02,330.2%,21.5%,,
10586-1,C$14.99,C$53.99,166.8%,19.2%,,
10587-1,C$24.99,C$67.49,150.1%,16.6%,,
10589-1,C$14.99,C$27.73,37.0%,7.2%,,
10590-1,C$24.99,C$89.18,230.5%,27.7%,,
10591-1,C$14.99,C$40.53,100.3%,11.2%,,
10592-1,C$29.99,C$80.99,140.1%,28.3%,,
10593-1,C$59.99,"C$2,754.35",3981.3%,31.4%,,
10594-1,C$29.99,C$98.05,190.6%,19.0%,,
10595-1,C$49.99,C$179.09,165.4%,18.9%,,
10596-1,C$44.99,C$337.14,524.5%,32.4%,,
10597-1,C$29.99,C$33.97,0.7%,1.8%,,
10599-1,C$39.99,C$198.38,267.5%,23.9%,,
10600-1,C$29.99,C$71.58,112.2%,15.6%,,
1060-1,,C$207.35,,,,
10601-1,C$19.99,C$74.17,174.8%,19.6%,,
10602-1,C$29.99,C$236.84,485.0%,24.9%,,
10603-1,C$14.99,C$33.67,66.4%,12.7%,,
10604-1,C$19.99,~C$26.99,,,,
10605-1,C$24.99,C$31.56,17.0%,5.3%,,
10606-1,C$34.99,C$144.72,257.5%,29.0%,,
10607-1,C$14.99,C$129.06,537.8%,33.4%,,
10608-1,C$29.99,C$128.37,217.1%,27.3%,,
106-1,,"C$13,498.65",,36.4%,,
1061-1,,C$33.25,,22.6%,,
10615-1,C$14.99,C$60.74,200.1%,24.9%,,
10616-1,C$19.99,C$104.37,286.7%,33.4%,,
10617-1,C$19.99,C$54.11,100.5%,18.4%,,
10618-1,C$29.99,C$107.18,217.7%,14.1%,,
1062-1,C$24.99,C$31.39,16.3%,5.7%,,
10622-1,C$80.99,C$182.86,125.8%,14.9%,,
10623-1,C$39.99,C$319.23,491.3%,26.3%,,
1063-1,,"C$2,299.50",,,,
1064-1,,,,,,
1065-1,,,,,,
10654-1,C$69.99,C$143.14,76.7%,9.4%,,
10655-1,C$24.99,C$233.48,765.2%,20.7%,,
10656-1,C$12.99,C$30.55,126.5%,9.5%,,
10657-1,C$19.99,C$41.13,103.3%,12.6%,,
10659-1,C$29.99,C$58.23,72.6%,5.9%,,
10660-1,C$29.99,C$52.27,54.9%,6.0%,,
1066-1,,"C$1,130.84",,,,
10661-1,C$12.99,C$40.49,200.2%,8.8%,,
10662-1,C$39.99,C$128.01,216.2%,15.3%,,
10663-1,C$59.99,C$102.40,68.6%,9.3%,,
10664-1,C$59.99,C$160.08,137.2%,7.7%,,
10665-1,C$12.99,C$40.45,130.6%,13.6%,,
10666-1,C$12.99,C$35.55,163.6%,8.3%,,
10667-1,C$17.99,C$69.70,244.4%,22.4%,,
10668-1,C$17.99,C$60.37,198.3%,13.3%,,
10669-1,C$24.99,C$77.63,187.6%,15.6%,,
1067-1,,"C$1,026.32",,,,
10671-1,C$24.99,C$83.50,209.4%,15.7%,,
10672-1,C$29.99,C$73.71,82.1%,8.8%,,
10673-1,C$34.99,C$121.20,199.4%,19.6%,,
10674-1,C$34.99,C$151.32,273.8%,24.2%,,
10675-1,C$29.99,C$77.17,90.6%,11.3%,,
10676-1,C$59.99,C$71.20,5.5%,3.2%,,
10677-1,C$12.99,C$21.18,57.1%,7.3%,,
10679-1,C$12.99,C$23.67,75.5%,9.8%,,
10680-1,C$24.99,C$77.18,186.0%,20.2%,,
1068-1,C$3.36,C$27.19,708.8%,11.3%,,
10681-1,C$44.99,C$121.26,149.6%,13.5%,,
10682-1,C$69.99,C$101.13,24.9%,3.8%,,
10683-1,C$24.99,C$61.06,126.3%,16.1%,,
10684-1,C$29.99,C$46.36,71.8%,11.8%,,
10685-1,C$29.99,C$56.03,107.6%,15.7%,,
10686-1,C$39.99,C$54.32,34.2%,6.0%,,
10687-1,C$29.99,C$64.35,59.0%,9.7%,,
1069-1,C$4.04,C$47.24,1070.2%,11.2%,,
10692-1,C$19.99,~C$22.94,,,,
10693-1,C$24.99,C$27.32,1.3%,,,
10694-1,C$24.99,C$35.87,32.9%,8.5%,,
10695-1,C$29.99,C$215.99,540.2%,35.4%,,
10696-1,C$34.99,C$48.26,2.2%,1.1%,,
10697-1,C$59.99,C$142.20,75.6%,10.5%,,
10698-1,C$59.99,~C$80.99,,,,
10699-1,C$9.99,C$31.95,196.2%,26.5%,,
10700-1,C$9.99,C$18.00,66.8%,4.9%,,
1070-1,C$4.04,C$13.45,233.1%,5.9%,,
10701-1,C$17.99,~C$20.24,,,,
10702-1,C$39.99,C$53.57,32.3%,9.5%,,
10703-1,C$44.99,C$187.85,248.0%,32.4%,,
10704-1,C$69.99,C$82.66,2.1%,1.9%,,
10705-1,C$79.99,C$107.58,32.8%,10.8%,,
10706-1,C$6.99,C$8.15,21.0%,7.1%,,
10707-1,C$6.99,C$7.97,18.2%,7.1%,,
10708-1,C$6.99,C$8.52,26.5%,17.9%,,
10709-1,C$6.99,C$8.24,22.2%,7.1%,,
107-1,C$33.41,C$180.72,440.9%,3.9%,,
1071-1,,,,,,
10712-1,C$24.99,C$33.70,24.9%,26.1%,,
10713-1,C$24.99,,,,retail,
10714-1,C$9.99,,,,retail,
10715-1,C$29.99,C$40.45,19.9%,6.2%,,
10717-1,C$79.99,,,,retail,
107-2,,"C$2,047.40",,5.0%,,
10720-1,C$12.99,C$39.31,191.5%,24.4%,,
10721-1,C$17.99,C$55.34,215.6%,21.2%,,
10722-1,C$17.99,C$33.74,66.7%,13.3%,,
10723-1,C$17.99,C$33.84,67.2%,11.1%,,
10724-1,C$24.99,C$53.99,100.1%,16.8%,,
10725-1,C$39.99,C$47.25,16.7%,5.3%,,
10726-1,C$15.99,C$34.09,94.4%,16.9%,,
10727-1,C$26.99,C$63.94,136.9%,21.0%,,
10728-1,C$39.99,C$106.41,162.8%,21.2%,,
10729-1,C$24.99,C$47.48,40.7%,9.6%,,
107-3,C$14.78,C$387.38,2520.6%,,,
10730-1,C$12.99,C$25.58,89.7%,24.4%,,
10731-1,C$12.99,C$17.01,26.1%,11.0%,,
10732-1,C$12.99,C$24.25,79.8%,18.6%,,
10733-1,C$12.99,C$35.65,164.4%,32.4%,,
10734-1,C$39.99,C$87.84,117.0%,22.7%,,
10735-1,C$24.99,C$53.99,100.1%,17.3%,,
10736-1,C$29.99,C$60.74,80.0%,21.6%,,
10737-1,C$17.99,C$26.20,29.5%,7.1%,,
